ApplicationDate,Age,AnnualIncome,CreditScore,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,EmploymentStatus,EducationLevel,Experience,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2010-06-26,27.0,66829.0,549.0,17290.0,60.0,Divorced,1.0,Rent,1095.0,0.1519851802536617,2.0,1.0,0.1685422983237097,0.0,Education,0.0,23.0,5.0,2539.0,247.0,50072.0,15005.0,5569.083333333333,0.9082885815114866,4.0,Employed,Associate,4.0,35067.0,0.25779,0.2514647802439352,508.9702299924367,0.2880133289426632,0.0,66.17650019314914
1996-09-23,55.0,172147.0,850.0,16110.0,36.0,Widowed,1.0,Mortgage,211.0,0.1756925061783615,3.0,0.0,0.1415525911843744,0.0,Home,0.0,27.0,11.0,844.0,694.0,91878.0,64877.0,14345.583333333334,0.7973387202851173,2.0,Employed,High School,33.0,27001.0,0.0861099999999999,0.0931727334867142,514.6758585382314,0.0505853154714213,1.0,28.495737103496538
2015-01-19,51.0,300000.0,850.0,38436.0,36.0,Married,0.0,Mortgage,546.0,0.4446052625295162,3.0,0.0,0.0309867456707963,1.0,Education,0.0,21.0,12.0,12756.0,651.0,292300.0,13918.0,25000.0,0.91594540899355,3.0,Employed,Bachelor,28.0,278382.0,0.108436,0.1154433549214912,1268.276384929765,0.0725710553971906,1.0,34.48810382302422
1981-05-12,25.0,34683.0,847.0,19186.0,48.0,Married,0.0,Other,153.0,0.1884515977110385,7.0,0.0,0.3798433525524213,0.0,Debt Consolidation,0.0,27.0,21.0,1524.0,529.0,13070.0,3846.0,2890.25,0.8764163939186378,3.0,Employed,High School,0.0,9224.0,0.100686,0.1128215122256221,498.50518681364207,0.2254148211447598,1.0,36.91075291012432
1995-05-07,55.0,300000.0,850.0,30437.0,48.0,Single,2.0,Rent,562.0,0.2734312216174486,3.0,1.0,0.0686589158551943,0.0,Debt Consolidation,0.0,35.0,9.0,1973.0,128.0,33357.0,351603.0,25000.0,0.8886886063704931,5.0,Employed,Bachelor,31.0,4502.0,0.110437,0.089037093202024,756.0351558867123,0.0527214062354684,1.0,31.34709071104565
1997-05-12,21.0,15000.0,300.0,29786.0,48.0,Single,4.0,Rent,457.0,0.1919595866724176,2.0,0.0,0.1575909006303193,0.0,Auto,0.0,16.0,16.0,1754.0,1958.0,99302.0,45457.0,1250.0,0.5672387303077696,4.0,Self-Employed,High School,0.0,53845.0,0.3847859999999999,0.404017738014676,1259.9045596996723,1.373523647759738,0.0,64.36530895313062
1987-04-06,32.0,300000.0,850.0,89073.0,36.0,Married,1.0,Rent,82.0,0.7477728408903567,2.0,3.0,0.3127857461057706,0.0,Debt Consolidation,0.0,24.0,29.0,10987.0,563.0,54801.0,41891.0,25000.0,0.952189555437274,4.0,Employed,Associate,12.0,12910.0,0.159073,0.1503268588485029,3089.170735935152,0.126846829437406,1.0,38.91094853146002
1989-05-09,38.0,191474.0,600.0,6706.0,72.0,Married,0.0,Rent,153.0,0.2665676339389444,4.0,0.0,0.0083188332946715,0.0,Auto,0.0,18.0,25.0,17098.0,1866.0,18964.0,47512.0,15956.166666666666,0.7340540342713527,4.0,Employed,High School,13.0,4777.0,0.231706,0.2629940310271672,186.0242365322828,0.0212472233221606,1.0,39.89528788004618
1989-09-03,35.0,15000.0,403.0,16291.0,36.0,Married,1.0,Mortgage,960.0,0.6379498812554832,6.0,1.0,0.0446645527845197,0.0,Other,1.0,20.0,1.0,5293.0,435.0,986905.0,7276.0,1250.0,0.7018530368936994,6.0,Employed,High School,11.0,979629.0,0.309791,0.2793283729971812,673.2632270086544,1.3066105816069236,0.0,67.81452881495774
1985-02-28,34.0,15000.0,300.0,20884.0,60.0,Married,0.0,Mortgage,869.0,0.1598003810592634,9.0,1.0,0.3841051121929763,0.0,Education,0.0,22.0,27.0,1122.0,1691.0,11286.0,35511.0,1250.0,0.8274817290164318,10.0,Employed,Bachelor,10.0,2896.0,0.385884,0.4049316729887063,816.1395351166072,1.348111628093286,0.0,70.06269125806162
1980-06-26,44.0,300000.0,850.0,15799.0,12.0,Divorced,1.0,Mortgage,129.0,0.1674087881678416,4.0,0.0,0.3336288133310143,0.0,Home,0.0,30.0,2.0,1055.0,457.0,82368.0,78220.0,25000.0,0.5541941840345526,7.0,Self-Employed,Bachelor,22.0,4148.0,0.065799,0.0789016082135342,1373.5279553288317,0.0601011182131532,1.0,38.38443173692947
1990-11-30,40.0,15000.0,669.0,24123.0,60.0,Married,0.0,Own,367.0,0.3619962820038105,2.0,1.0,0.1706579933898617,0.0,Debt Consolidation,0.0,26.0,23.0,3988.0,709.0,24826.0,7132.0,1250.0,0.5156802122680797,7.0,Employed,High School,16.0,17694.0,0.204623,0.2050837150553102,645.9546427715334,0.8103637142172267,0.0,59.46475052489695
2014-01-24,37.0,300000.0,850.0,74462.0,12.0,Divorced,3.0,Rent,206.0,0.1115696789549162,2.0,0.0,0.3244072461306244,0.0,Education,0.0,24.0,23.0,3322.0,4240.0,25659.0,61964.0,25000.0,0.8657532848941494,3.0,Employed,Bachelor,14.0,8119.0,0.124462,0.1337443551020477,6663.830940624845,0.2747932376249938,1.0,32.92474170411987
1997-02-26,27.0,15000.0,,,48.0,Married,5.0,Other,,0.1306500646583985,4.0,0.0,0.3487680270821321,,,0.0,34.0,25.0,6667.0,,,33506.0,1250.0,0.8166510478327839,3.0,Employed,High School,5.0,,,0.3431388073716858,1097.3522497520594,1.2930817998016475,0.0,67.3047192899796
1997-05-11,50.0,143587.0,774.0,40665.0,72.0,Married,2.0,Own,438.0,0.5455197561791781,0.0,4.0,0.2263824029913099,0.0,Home,0.0,35.0,26.0,3061.0,13502.0,2187522.0,2003.0,11965.583333333334,0.8551122976547401,2.0,Employed,Bachelor,27.0,2185519.0,0.178665,0.1803619192934034,928.3110137997548,0.1141867450785729,1.0,23.815201834365745
1998-02-08,44.0,80305.0,775.0,53775.0,36.0,Widowed,2.0,Mortgage,200.0,0.1759958487171158,4.0,0.0,0.3195081336028896,0.0,Auto,0.0,31.0,17.0,7479.0,210.0,44382.0,660065.0,6692.083333333333,0.7862697785064306,7.0,Employed,Bachelor,22.0,9507.0,0.161275,0.1843155344798521,1955.756534185417,0.3221353391473134,0.0,45.97753827381669
1999-04-05,35.0,15000.0,360.0,29383.0,84.0,Single,1.0,Own,475.0,0.1298871444030936,3.0,1.0,0.2572483693646858,0.0,Home,0.0,20.0,3.0,11973.0,459.0,87652.0,125119.0,1250.0,0.7949521593455926,8.0,Employed,Associate,12.0,6063.0,0.384383,0.359209685365127,960.1572927391117,1.1481258341912892,0.0,76.9228506110083
